Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Rollover,ExitType
,Long,EUR/CHF,347801,1,02.01.13 04:30,02.01.13 17:00,1.20825,1.21001,1.42389,0.00000,Target
,Long,EUR/CHF,350402,1,02.01.13 17:30,10.01.13 13:00,1.20992,1.21168,1.44134,0.01400,Target
,Long,EUR/CHF,377803,1,10.01.13 13:30,11.01.13 00:00,1.21213,1.21389,1.44730,0.00200,Target
,Long,EUR/CHF,380004,1,11.01.13 00:30,11.01.13 08:00,1.21365,1.21541,1.43103,0.00000,Target
,Long,EUR/CHF,381705,1,11.01.13 09:00,11.01.13 14:30,1.21722,1.21898,1.44678,0.00000,Target
,Long,EUR/CHF,382906,1,11.01.13 15:00,11.01.13 19:30,1.21860,1.22036,1.47386,0.00000,Target
,Long,EUR/CHF,383907,1,13.01.13 23:00,14.01.13 07:30,1.22162,1.22338,1.43577,0.00400,Target
,Long,EUR/CHF,386308,1,14.01.13 11:00,14.01.13 18:30,1.22621,1.22797,1.45023,0.00000,Target
,Long,EUR/CHF,387909,1,14.01.13 19:00,14.01.13 19:00,1.22966,1.23142,1.43743,0.00000,Target
,Long,EUR/CHF,388010,1,14.01.13 19:30,14.01.13 19:30,1.23170,1.23346,1.42733,0.00000,Target
,Long,EUR/CHF,388111,1,14.01.13 20:00,15.01.13 01:00,1.23312,1.23488,1.44878,0.00200,Target
,Long,EUR/CHF,389212,1,15.01.13 01:30,15.01.13 02:30,1.23655,1.23831,1.42414,0.00000,Target
,Long,EUR/CHF,389513,1,15.01.13 03:00,15.01.13 14:00,1.23639,1.24004,2.9925,0.00000,Target
,Long,EUR/CHF,389814,1,15.01.13 04:30,15.01.13 14:00,1.23416,1.24004,4.7784,0.00000,Target
,Long,EUR/CHF,391915,1,15.01.13 15:00,17.01.13 07:30,1.23899,1.24126,1.84790,0.00400,Target
,Long,EUR/CHF,396216,1,16.01.13 12:30,17.01.13 07:30,1.23632,1.24126,4.0489,0.00200,Target
,Long,EUR/CHF,396317,1,16.01.13 13:00,17.01.13 07:30,1.23418,1.24126,5.7268,0.00200,Target
,Long,EUR/CHF,400118,1,17.01.13 08:00,17.01.13 08:30,1.24292,1.24468,1.44112,0.00000,Target
,Long,EUR/CHF,400319,1,17.01.13 09:00,18.01.13 00:30,1.24524,1.25051,4.3368,0.00200,Target
,Long,EUR/CHF,400520,1,17.01.13 10:00,18.01.13 00:30,1.24305,1.25051,6.0711,0.00200,Target
,Long,EUR/CHF,402021,1,17.01.13 17:30,18.01.13 00:30,1.24896,1.25051,1.27789,0.00200,Target
,Long,EUR/CHF,403722,1,18.01.13 02:00,18.01.13 03:00,1.25109,1.25285,1.42635,0.00000,Target
,Long,EUR/CHF,404023,1,18.01.13 03:30,18.01.13 03:30,1.25328,1.25504,1.42414,0.00000,Target
,Long,EUR/CHF,404124,1,18.01.13 04:00,25.01.13 17:00,1.25633,1.24817,-6.5466,0.01200,Target
,Long,EUR/CHF,404425,1,18.01.13 05:30,25.01.13 17:00,1.25413,1.24817,-4.7848,0.01200,Target
,Long,EUR/CHF,407226,1,18.01.13 19:30,25.01.13 17:00,1.24521,1.24817,2.4350,0.01200,Target
,Long,EUR/CHF,407727,1,21.01.13 01:00,25.01.13 17:00,1.24241,1.24817,4.6872,0.00800,Target
,Long,EUR/CHF,416328,2,22.01.13 20:00,25.01.13 17:00,1.23766,1.24817,17.0311,0.01200,Target
,Long,EUR/CHF,419629,4,23.01.13 12:30,25.01.13 17:00,1.24018,1.24817,25.952,0.01600,Target
,Long,EUR/CHF,430230,1,25.01.13 17:30,27.01.13 23:00,1.24852,1.25028,1.44090,0.00200,Target
,Long,EUR/CHF,430831,1,27.01.13 23:30,13.02.13 10:30,1.25037,1.23786,-10.0397,0.03000,Target
,Long,EUR/CHF,431032,1,28.01.13 00:30,13.02.13 10:30,1.24826,1.23786,-8.3842,0.02800,Target
,Long,EUR/CHF,436833,1,29.01.13 05:30,13.02.13 10:30,1.24625,1.23786,-6.7497,0.02600,Target
,Long,EUR/CHF,438934,1,29.01.13 16:00,13.02.13 10:30,1.24260,1.23786,-3.8077,0.02600,Target
,Long,EUR/CHF,445235,2,30.01.13 23:30,13.02.13 10:30,1.23658,1.23786,2.1334,0.04800,Target
,Long,EUR/CHF,446136,4,31.01.13 04:00,13.02.13 10:30,1.23395,1.23786,12.7536,0.08800,Target
,Long,EUR/CHF,450537,6,01.02.13 02:00,13.02.13 10:30,1.23867,1.23786,-3.7703,0.12000,Target
,Long,EUR/CHF,459138,11,05.02.13 00:00,13.02.13 10:30,1.22806,1.23786,87.356,0.17600,Target
,Long,EUR/CHF,461039,17,05.02.13 09:30,13.02.13 10:30,1.23054,1.23786,101.578,0.23800,Target
,Long,EUR/CHF,489540,1,13.02.13 11:00,01.03.13 14:30,1.23763,1.22640,-9.0547,0.02800,Target
,Long,EUR/CHF,490141,1,13.02.13 14:00,01.03.13 14:30,1.23535,1.22640,-7.2141,0.02800,Target
,Long,EUR/CHF,493742,1,14.02.13 08:00,01.03.13 14:30,1.23307,1.22640,-5.3592,0.02600,Target
,Long,EUR/CHF,495543,1,14.02.13 17:00,01.03.13 14:30,1.23070,1.22640,-3.4518,0.02600,Target
,Long,EUR/CHF,519344,2,21.02.13 19:00,01.03.13 14:30,1.22858,1.22640,-3.4323,0.02800,Target
,Long,EUR/CHF,529845,4,26.02.13 02:30,01.03.13 14:30,1.21903,1.22640,23.932,0.02400,Target
,Long,EUR/CHF,530146,6,26.02.13 04:00,01.03.13 14:30,1.21395,1.22640,60.739,0.03600,Target
,Long,EUR/CHF,531147,11,26.02.13 09:00,01.03.13 14:30,1.21659,1.22640,87.482,0.06600,Target
,Long,EUR/CHF,537648,17,27.02.13 17:30,01.03.13 14:30,1.22123,1.22640,71.372,0.06800,Target
,Long,EUR/CHF,542949,29,28.02.13 20:00,01.03.13 14:30,1.22353,1.22640,67.540,0.05800,Target
,Long,EUR/CHF,546850,1,01.03.13 15:30,01.03.13 19:30,1.22720,1.22896,1.44924,0.00000,Target
,Long,EUR/CHF,547751,1,03.03.13 23:00,05.03.13 09:00,1.22661,1.22837,1.43703,0.00600,Target
,Long,EUR/CHF,554652,1,05.03.13 09:30,06.03.13 04:00,1.22769,1.22945,1.43647,0.00200,Target
,Long,EUR/CHF,558453,1,06.03.13 04:30,06.03.13 08:30,1.22924,1.23100,1.43423,0.00000,Target
,Long,EUR/CHF,559354,1,06.03.13 09:00,07.03.13 08:00,1.23124,1.23300,1.44214,0.00200,Target
,Long,EUR/CHF,564055,1,07.03.13 08:30,07.03.13 15:30,1.23303,1.23479,1.44112,0.00000,Target
,Long,EUR/CHF,565556,1,07.03.13 16:00,08.03.13 13:00,1.23562,1.23738,1.46134,0.00200,Target
,Long,EUR/CHF,570057,1,08.03.13 14:30,23.04.13 14:00,1.23777,1.22410,-10.9439,0.07800,Target
,Long,EUR/CHF,570858,1,08.03.13 18:30,23.04.13 14:00,1.23576,1.22410,-9.3559,0.07800,Target
,Long,EUR/CHF,579259,1,12.03.13 15:30,23.04.13 14:00,1.23295,1.22410,-7.0877,0.07200,Target
,Long,EUR/CHF,596060,1,18.03.13 06:30,23.04.13 14:00,1.21852,1.22410,4.5732,0.06200,Target
,Long,EUR/CHF,596461,2,18.03.13 08:30,23.04.13 14:00,1.22144,1.22410,4.4216,0.12400,Target
,Long,EUR/CHF,597662,4,18.03.13 14:30,23.04.13 14:00,1.22428,1.22410,-0.30179,0.24800,Target
,Long,EUR/CHF,598463,6,18.03.13 18:30,23.04.13 14:00,1.22632,1.22410,-10.0924,0.37200,Target
,Long,EUR/CHF,644764,11,01.04.13 16:00,23.04.13 14:00,1.21652,1.22410,67.876,0.41800,Target
,Long,EUR/CHF,648065,17,02.04.13 08:30,23.04.13 14:00,1.21448,1.22410,133.146,0.61200,Target
,Long,EUR/CHF,719466,1,23.04.13 14:30,23.04.13 15:30,1.22497,1.22673,1.42832,0.00000,Target
,Long,EUR/CHF,719767,1,23.04.13 16:00,23.04.13 19:30,1.22685,1.22861,1.42955,0.00000,Target
,Long,EUR/CHF,720568,1,23.04.13 20:00,24.04.13 09:00,1.22865,1.23041,1.43327,0.00200,Target
,Long,EUR/CHF,723569,1,24.04.13 11:00,07.05.13 08:30,1.23115,1.23001,-0.88785,0.02200,Target
,Long,EUR/CHF,723970,1,24.04.13 13:00,07.05.13 08:30,1.22910,1.23001,0.76083,0.02200,Target
,Long,EUR/CHF,726471,1,25.04.13 01:30,07.05.13 08:30,1.23418,1.23001,-3.3425,0.02000,Target
,Long,EUR/CHF,741272,1,30.04.13 06:30,07.05.13 08:30,1.22645,1.23001,2.8947,0.01200,Target
,Long,EUR/CHF,743773,2,30.04.13 19:00,07.05.13 08:30,1.22367,1.23001,10.2996,0.02400,Target
,Long,EUR/CHF,752274,4,02.05.13 13:30,07.05.13 08:30,1.22106,1.23001,29.014,0.03200,Target
,Long,EUR/CHF,765175,1,07.05.13 09:00,07.05.13 09:00,1.23030,1.23206,1.42364,0.00000,Target
,Long,EUR/CHF,765276,1,07.05.13 09:30,09.05.13 17:30,1.23299,1.23797,4.0670,0.00400,Target
,Long,EUR/CHF,768777,1,08.05.13 03:00,09.05.13 17:30,1.23082,1.23797,5.7921,0.00200,Target
,Long,EUR/CHF,776478,1,09.05.13 17:30,09.05.13 17:30,1.23582,1.23797,1.74275,0.00000,Target
,Long,EUR/CHF,776579,1,09.05.13 18:00,09.05.13 18:00,1.23815,1.23991,1.44604,0.00000,Target
,Long,EUR/CHF,776680,1,09.05.13 18:30,10.05.13 07:00,1.23798,1.24140,2.8312,0.00200,Target
,Long,EUR/CHF,776781,1,09.05.13 19:00,10.05.13 07:00,1.23529,1.24140,4.9758,0.00200,Target
,Long,EUR/CHF,779382,1,10.05.13 08:00,10.05.13 08:30,1.24301,1.24477,1.46204,0.00000,Target
,Long,EUR/CHF,779583,1,10.05.13 09:00,14.05.13 16:30,1.24570,1.24773,1.71204,0.00600,Target
,Long,EUR/CHF,779684,1,10.05.13 09:30,14.05.13 16:30,1.24347,1.24773,3.4962,0.00600,Target
,Long,EUR/CHF,788285,1,14.05.13 07:30,14.05.13 16:30,1.23975,1.24773,6.4811,0.00000,Target
,Long,EUR/CHF,790186,1,14.05.13 17:00,14.05.13 19:00,1.24837,1.25013,1.43004,0.00000,Target
,Long,EUR/CHF,790687,1,14.05.13 19:30,15.05.13 07:00,1.24961,1.25137,1.43893,0.00200,Target
,Long,EUR/CHF,793988,1,15.05.13 12:00,21.05.13 14:00,1.25147,1.25196,0.49538,0.01000,Target
,Long,EUR/CHF,794089,1,15.05.13 12:30,21.05.13 14:00,1.24783,1.25196,3.3794,0.01000,Target
,Long,EUR/CHF,796090,1,15.05.13 22:30,21.05.13 14:00,1.24366,1.25196,6.7238,0.01000,Target
,Long,EUR/CHF,809391,1,20.05.13 20:00,21.05.13 14:00,1.24582,1.25196,4.9663,0.00200,Target
,Long,EUR/CHF,813092,1,21.05.13 14:30,22.05.13 08:00,1.25179,1.25537,2.9543,0.00200,Target
,Long,EUR/CHF,813293,1,21.05.13 15:30,22.05.13 08:00,1.24944,1.25537,4.8324,0.00200,Target
,Long,EUR/CHF,816694,1,22.05.13 08:30,22.05.13 10:00,1.25602,1.25956,2.9146,0.00000,Target
,Long,EUR/CHF,816895,1,22.05.13 09:30,22.05.13 10:00,1.25359,1.25956,4.8588,0.00000,Target
,Long,EUR/CHF,817096,1,22.05.13 10:30,22.05.13 10:30,1.25861,1.26037,1.42635,0.00000,Target
,Long,EUR/CHF,817197,1,22.05.13 11:00,22.05.13 14:00,1.26083,1.26259,1.46327,0.00000,Target
,Long,EUR/CHF,817898,1,22.05.13 14:30,28.05.13 14:00,1.26453,1.25368,-8.6811,0.01000,Target
,Long,EUR/CHF,817999,1,22.05.13 15:00,28.05.13 14:00,1.26149,1.25368,-6.2934,0.01000,Target
,Long,EUR/CHF,818600,1,22.05.13 18:30,28.05.13 14:00,1.25900,1.25368,-4.2170,0.01000,Target
,Long,EUR/CHF,822401,1,23.05.13 13:30,28.05.13 14:00,1.24526,1.25368,6.8261,0.00800,Target
,Long,EUR/CHF,822502,2,23.05.13 14:00,28.05.13 14:00,1.24847,1.25368,8.4720,0.01600,Target
,Long,EUR/CHF,822603,4,23.05.13 14:30,28.05.13 14:00,1.25109,1.25368,8.4683,0.03200,Target
,Long,EUR/CHF,823504,6,23.05.13 19:00,28.05.13 14:00,1.25348,1.25368,1.16093,0.04800,Target
,Long,EUR/CHF,828905,11,27.05.13 01:00,28.05.13 14:00,1.24259,1.25368,98.736,0.02200,Target
,Long,EUR/CHF,836406,1,28.05.13 14:30,28.05.13 20:00,1.25405,1.25581,1.42586,0.00000,Target
,Long,EUR/CHF,837807,1,28.05.13 21:30,07.06.13 15:00,1.25581,1.23772,-14.6015,0.01800,Target
,Long,EUR/CHF,839708,1,29.05.13 07:00,07.06.13 15:00,1.25329,1.23772,-12.5097,0.01600,Target
,Long,EUR/CHF,842209,1,29.05.13 19:30,07.06.13 15:00,1.24564,1.23772,-6.3590,0.01600,Target
,Long,EUR/CHF,844410,1,30.05.13 06:30,07.06.13 15:00,1.24362,1.23772,-4.7381,0.01400,Target
,Long,EUR/CHF,854711,2,03.06.13 13:00,07.06.13 15:00,1.24874,1.23772,-17.7318,0.01600,Target
,Long,EUR/CHF,856512,4,03.06.13 22:00,07.06.13 15:00,1.23826,1.23772,-1.70349,0.03200,Target
,Long,EUR/CHF,858213,6,04.06.13 06:30,07.06.13 15:00,1.24088,1.23772,-15.2831,0.03600,Target
,Long,EUR/CHF,866014,11,05.06.13 21:30,07.06.13 15:00,1.23368,1.23772,36.046,0.04400,Target
,Long,EUR/CHF,872515,17,07.06.13 06:00,07.06.13 15:00,1.23049,1.23772,99.782,0.00000,Target
,Long,EUR/CHF,873216,29,07.06.13 09:30,07.06.13 15:00,1.22838,1.23772,219.36,0.00000,Target
,Long,EUR/CHF,874417,1,07.06.13 15:30,10.06.13 07:00,1.23713,1.23889,1.44537,0.00400,Target
,Long,EUR/CHF,877318,1,10.06.13 09:00,10.06.13 13:00,1.23846,1.24022,1.42980,0.00000,Target
,Long,EUR/CHF,878319,1,10.06.13 14:00,27.06.13 12:00,1.23969,1.23296,-5.3872,0.03000,Target
,Long,EUR/CHF,881020,1,11.06.13 03:30,27.06.13 12:00,1.23728,1.23296,-3.4617,0.02800,Target
,Long,EUR/CHF,883721,1,11.06.13 17:00,27.06.13 12:00,1.23135,1.23296,1.35975,0.02800,Target
,Long,EUR/CHF,889822,1,12.06.13 23:30,27.06.13 12:00,1.22829,1.23296,3.8271,0.02600,Target
,Long,EUR/CHF,894123,2,13.06.13 21:00,27.06.13 12:00,1.23340,1.23296,-0.61048,0.04800,Target
,Long,EUR/CHF,917924,4,20.06.13 23:00,27.06.13 12:00,1.22610,1.23296,22.403,0.04800,Target
,Long,EUR/CHF,925925,6,24.06.13 18:00,27.06.13 12:00,1.22391,1.23296,44.029,0.03600,Target
,Long,EUR/CHF,939226,1,27.06.13 12:30,28.06.13 06:30,1.23262,1.23438,1.43007,0.00200,Target
,Long,EUR/CHF,942927,1,28.06.13 07:00,01.07.13 13:30,1.23484,1.23713,1.87606,0.00400,Target
,Long,EUR/CHF,946128,1,01.07.13 02:00,01.07.13 13:30,1.23008,1.23713,5.7042,0.00000,Target
,Long,EUR/CHF,947229,1,01.07.13 07:30,01.07.13 13:30,1.23219,1.23713,3.9967,0.00000,Target
,Long,EUR/CHF,948530,1,01.07.13 14:00,08.07.13 12:00,1.23662,1.24019,2.9167,0.01200,Target
,Long,EUR/CHF,948931,1,01.07.13 16:00,08.07.13 12:00,1.23454,1.24019,4.5803,0.01200,Target
,Long,EUR/CHF,958132,1,03.07.13 14:00,08.07.13 12:00,1.23182,1.24019,6.7986,0.00800,Target
,Long,EUR/CHF,968933,1,07.07.13 23:00,08.07.13 12:00,1.23873,1.24019,1.20368,0.00400,Target
,Long,EUR/CHF,971634,1,08.07.13 12:30,09.07.13 05:30,1.24000,1.24176,1.43894,0.00200,Target
,Long,EUR/CHF,975135,1,09.07.13 06:00,09.07.13 06:30,1.24228,1.24404,1.42364,0.00000,Target
,Long,EUR/CHF,975336,1,09.07.13 07:00,09.07.13 08:00,1.24419,1.24595,1.44333,0.00000,Target
,Long,EUR/CHF,975637,1,09.07.13 08:30,13.08.13 13:00,1.24573,1.23802,-6.1242,0.06000,Target
,Long,EUR/CHF,975738,1,09.07.13 09:00,13.08.13 13:00,1.24354,1.23802,-4.4069,0.06000,Target
,Long,EUR/CHF,982239,1,10.07.13 17:30,13.08.13 13:00,1.24140,1.23802,-2.6637,0.05800,Target
,Long,EUR/CHF,985640,1,11.07.13 10:30,13.08.13 13:00,1.23927,1.23802,-0.95556,0.05600,Target
,Long,EUR/CHF,992341,2,14.07.13 23:00,13.08.13 13:00,1.23676,1.23802,2.1607,0.10800,Target
,Long,EUR/CHF,1005442,4,17.07.13 16:30,13.08.13 13:00,1.23425,1.23802,12.3992,0.18400,Target
,Long,EUR/CHF,1038543,6,26.07.13 17:00,13.08.13 13:00,1.23218,1.23802,28.537,0.18000,Target
,Long,EUR/CHF,1068244,11,06.08.13 03:30,13.08.13 13:00,1.22949,1.23802,76.028,0.13200,Target
,Long,EUR/CHF,1093645,1,13.08.13 13:30,14.08.13 05:30,1.23743,1.23919,1.43426,0.00200,Target
,Long,EUR/CHF,1097046,1,14.08.13 06:30,15.08.13 10:00,1.24083,1.24259,1.42909,0.00200,Target
,Long,EUR/CHF,1102647,1,15.08.13 10:30,05.09.13 05:00,1.24294,1.23692,-4.8304,0.03600,Target
,Long,EUR/CHF,1103348,1,15.08.13 14:00,05.09.13 05:00,1.24064,1.23692,-2.8878,0.03600,Target
,Long,EUR/CHF,1103449,1,15.08.13 14:30,05.09.13 05:00,1.23766,1.23692,-0.56168,0.03600,Target
,Long,EUR/CHF,1108850,1,16.08.13 17:30,05.09.13 05:00,1.23476,1.23692,1.78533,0.03400,Target
,Long,EUR/CHF,1114251,2,19.08.13 23:30,05.09.13 05:00,1.23272,1.23692,6.8478,0.06000,Target
,Long,EUR/CHF,1119552,4,21.08.13 02:00,05.09.13 05:00,1.23051,1.23692,20.828,0.10400,Target
,Long,EUR/CHF,1143253,6,28.08.13 04:00,05.09.13 05:00,1.22850,1.23692,40.942,0.08400,Target
,Long,EUR/CHF,1171754,1,05.09.13 05:30,05.09.13 07:30,1.23781,1.23957,1.42635,0.00000,Target
,Long,EUR/CHF,1172255,1,05.09.13 08:00,09.10.13 09:00,1.23939,1.23070,-6.9626,0.05800,Target
,Long,EUR/CHF,1179256,1,06.09.13 19:00,09.10.13 09:00,1.23629,1.23070,-4.4363,0.05600,Target
,Long,EUR/CHF,1189957,1,11.09.13 03:30,09.10.13 09:00,1.24143,1.23070,-8.6277,0.04800,Target
,Long,EUR/CHF,1217758,1,19.09.13 01:30,09.10.13 09:00,1.23426,1.23070,-2.8394,0.03400,Target
,Long,EUR/CHF,1223859,2,20.09.13 08:00,09.10.13 09:00,1.23216,1.23070,-2.2510,0.06400,Target
,Long,EUR/CHF,1230960,4,23.09.13 22:30,09.10.13 09:00,1.22932,1.23070,4.6030,0.11200,Target
,Long,EUR/CHF,1246361,6,27.09.13 03:30,09.10.13 09:00,1.22686,1.23070,18.7811,0.12000,Target
,Long,EUR/CHF,1249062,11,27.09.13 17:00,09.10.13 09:00,1.22481,1.23070,52.716,0.22000,Target
,Long,EUR/CHF,1249663,17,29.09.13 23:00,09.10.13 09:00,1.22203,1.23070,119.649,0.34000,Target
,Long,EUR/CHF,1284764,1,09.10.13 09:30,11.10.13 13:30,1.23112,1.23288,1.44315,0.00400,Target
,Long,EUR/CHF,1295365,1,11.10.13 14:30,14.10.13 07:00,1.23392,1.23568,1.43699,0.00400,Target
,Long,EUR/CHF,1298266,1,14.10.13 08:00,15.10.13 10:00,1.23543,1.23719,1.44115,0.00200,Target
